sweep_id,date_time,max_spheres,ray_depth,num_spheres,block_size,implementation,openmp_time_s,kernel_time_s,memory_transfer_time_s,total_without_mem_s,total_with_mem_s,throughput_mpixels_sec,speedup_vs_openmp_kernel,speedup_vs_openmp_with_mem
3,2026-05-20_23-27-26,512,50,200,32,OPENMP,657.510,657.510,0.000,657.510,657.510,0.000623,1.000000,1.000000
3,2026-05-20_23-27-26,512,50,200,32,GLOBAL,657.510,11.820,0.006,11.820,11.826,0.034654,55.628338,55.599708
3,2026-05-20_23-27-26,512,50,200,32,CONSTANT,657.510,11.702,0.120,11.702,11.823,0.035001,56.185974,55.613681
3,2026-05-20_23-27-26,512,50,200,32,SHARED,657.510,16.459,0.120,16.459,16.579,0.024886,39.948438,39.658269
3,2026-05-20_23-27-26,512,50,200,32,1D TEXTURE,657.510,11.745,0.004,11.745,11.749,0.034874,55.980953,55.962587
3,2026-05-20_23-27-26,512,50,200,32,2D TEXTURE,657.510,11.738,0.005,11.738,11.743,0.034894,56.014273,55.992692
3,2026-05-20_23-27-26,512,50,200,32,2D TEXTURE + CONSTANT,657.510,11.687,0.119,11.687,11.806,0.035049,56.262352,55.693897
3,2026-05-20_23-27-26,512,50,200,32,REALISTIC,657.510,11.750,0.004,11.750,11.754,0.034859,55.958022,55.937784
3,2026-05-20_23-39-53,512,50,200,32,OPENMP,656.792,656.792,0.000,656.792,656.792,0.000624,1.000000,1.000000
3,2026-05-20_23-39-53,512,50,200,32,GLOBAL,656.792,11.796,0.009,11.796,11.804,0.034725,55.681400,55.640997
3,2026-05-20_23-39-53,512,50,200,32,CONSTANT,656.792,11.781,0.018,11.781,11.799,0.034768,55.749574,55.663923
3,2026-05-20_23-39-53,512,50,200,32,SHARED,656.792,16.464,0.018,16.464,16.482,0.024879,39.893241,39.849487
3,2026-05-20_23-39-53,512,50,200,32,1D TEXTURE,656.792,11.768,0.005,11.768,11.773,0.034805,55.810108,55.785903
3,2026-05-20_23-39-53,512,50,200,32,2D TEXTURE,656.792,11.772,0.005,11.772,11.777,0.034793,55.791097,55.767771
3,2026-05-20_23-39-53,512,50,200,32,2D TEXTURE + CONSTANT,656.792,11.729,0.015,11.729,11.744,0.034923,55.999604,55.927384
3,2026-05-20_23-39-53,512,50,200,32,REALISTIC,656.792,11.749,0.005,11.749,11.754,0.034863,55.902991,55.879582
3,2026-05-20_23-52-18,512,50,200,32,OPENMP,657.592,657.592,0.000,657.592,657.592,0.000623,1.000000,1.000000
3,2026-05-20_23-52-18,512,50,200,32,GLOBAL,657.592,11.828,0.006,11.828,11.833,0.034631,55.597838,55.571120
3,2026-05-20_23-52-18,512,50,200,32,CONSTANT,657.592,11.752,0.049,11.752,11.801,0.034855,55.957490,55.724779
3,2026-05-20_23-52-18,512,50,200,32,SHARED,657.592,16.463,0.049,16.463,16.512,0.024881,39.944853,39.826259
3,2026-05-20_23-52-18,512,50,200,32,1D TEXTURE,657.592,11.737,0.005,11.737,11.742,0.034898,56.027629,56.003250
3,2026-05-20_23-52-18,512,50,200,32,2D TEXTURE,657.592,11.755,0.010,11.755,11.764,0.034846,55.942717,55.896857
3,2026-05-20_23-52-18,512,50,200,32,2D TEXTURE + CONSTANT,657.592,11.753,0.054,11.753,11.806,0.034852,55.952909,55.698921
3,2026-05-20_23-52-18,512,50,200,32,REALISTIC,657.592,11.737,0.010,11.737,11.747,0.034897,56.026127,55.979699
3,2026-05-21_00-04-45,512,50,200,64,OPENMP,657.268,657.268,0.000,657.268,657.268,0.000623,1.000000,1.000000
3,2026-05-21_00-04-45,512,50,200,64,GLOBAL,657.268,11.956,0.010,11.956,11.966,0.034260,54.975803,54.928782
