epoch,train_loss,train_acc,test_acc
1,0.0610126,98.2573,49.29
2,0.0552928,98.4483,55.95
3,0.0520202,98.54,61.52
4,0.0495969,98.5987,65.15
5,0.0535325,98.5322,69.05
6,0.0522027,98.5344,70.54
7,0.0510751,98.5878,72.15
8,0.0502627,98.6028,73.28
9,0.049631,98.6061,74.29
10,0.0488652,98.6189,75.23
11,0.048471,98.6394,76.08
12,0.0479169,98.6483,76.29
13,0.0473409,98.6689,76.71
14,0.0471584,98.675,77.22
15,0.0466139,98.6706,77.39
16,0.0463805,98.66,77.81
17,0.0460212,98.6911,78.06
18,0.0455737,98.6983,78.29
19,0.0454515,98.6944,78.58
20,0.0450513,98.7111,78.84
21,0.0449693,98.7189,78.63
22,0.0445869,98.7239,78.94
23,0.0443069,98.7344,79.14
24,0.0441527,98.7339,79.18
25,0.0439925,98.7411,79.41
26,0.0437796,98.7467,79.51
27,0.0435818,98.7494,79.69
28,0.0433271,98.7683,79.59
29,0.0432193,98.76,79.8
30,0.0432046,98.7822,79.73
31,0.0428773,98.7861,79.52
32,0.0427626,98.7894,79.91
33,0.0425542,98.7783,80.03
34,0.0424105,98.7833,79.84
35,0.0422967,98.7806,80.05
36,0.0420754,98.8078,80.2
37,0.0421563,98.81,80.1
38,0.0420051,98.7911,80.06
39,0.0419621,98.7967,80.26
40,0.0415661,98.8217,80.27
41,0.0414906,98.8289,80.2
