round,loss,train_acc
1,0.0144412,99.7853
2,0.0127742,99.9847
3,0.0119745,99.9923
4,0.0119816,99.954
5,0.0175879,99.9617
6,0.0185008,99.9233
7,0.0181001,99.9361
8,0.0180848,99.885
9,0.0184356,99.8978
10,0.0180775,99.885
11,0.0178681,99.885
12,0.01857,99.8211
13,0.0189723,99.8722
14,0.0186075,99.8466
15,0.018541,99.8338
16,0.0188191,99.8083
17,0.0196719,99.706
18,0.0194023,99.7827
19,0.0189873,99.7444
20,0.0187211,99.7316
21,0.0192639,99.706
22,0.0191627,99.706
23,0.0192497,99.7316
24,0.0194452,99.706
25,0.0190548,99.7572
26,0.0188528,99.6933
27,0.0197754,99.6549
28,0.0203416,99.6293
29,0.0199314,99.706
30,0.0202713,99.5399
31,0.0199314,99.7188
32,0.0196764,99.706
33,0.0199448,99.6933
34,0.0202561,99.6293
35,0.0199369,99.6421
36,0.0200017,99.6421
37,0.0195581,99.706
38,0.0196049,99.6805
39,0.0209389,99.5782
40,0.0205346,99.6421
41,0.0203328,99.6549
42,0.0204263,99.6421
43,0.0206638,99.5782
44,0.020412,99.591
45,0.0201999,99.6805
46,0.0202627,99.6421
47,0.0198963,99.6549
48,0.0202656,99.591
49,0.0197487,99.6549
50,0.0208466,99.6038
51,0.0202141,99.6038
52,0.0202583,99.6805
53,0.0205324,99.5654
