round,loss,train_acc
1,0.0306392,99.5092
2,0.0270598,99.6856
3,0.0246661,99.8159
4,0.0229121,99.862
5,0.0302704,99.7955
6,0.0283251,99.8338
7,0.0276379,99.8211
8,0.0263404,99.8338
9,0.0256758,99.8211
10,0.0252124,99.7827
11,0.0247198,99.7955
12,0.0244159,99.7572
13,0.0239597,99.7955
14,0.0234424,99.7316
15,0.0235043,99.7444
16,0.0229374,99.7955
17,0.0228355,99.7188
18,0.0226023,99.706
19,0.0227346,99.7316
20,0.0222315,99.7444
21,0.0227052,99.7316
22,0.0223688,99.6293
23,0.0225685,99.6549
24,0.0222939,99.6677
25,0.021861,99.6805
26,0.0221039,99.7316
27,0.0213076,99.7188
28,0.0216002,99.6805
29,0.0214939,99.6549
30,0.0211108,99.6805
31,0.0209468,99.6549
32,0.0214958,99.6549
33,0.0213396,99.6677
34,0.0215859,99.6805
35,0.0210952,99.6293
36,0.0210644,99.6677
37,0.0211925,99.6549
38,0.0211496,99.6549
39,0.0210456,99.6421
40,0.0205404,99.706
41,0.0204026,99.6549
42,0.0208851,99.6805
43,0.0209428,99.6677
44,0.0204632,99.6677
45,0.0206785,99.6805
46,0.0203474,99.6166
47,0.020188,99.706
48,0.020546,99.6677
49,0.0202172,99.6677
50,0.0205371,99.6677
51,0.0199951,99.6549
52,0.0203467,99.6805
53,0.0200401,99.591
