round,loss,train_acc
1,0.0241926,99.8276
2,0.0240055,99.8119
3,0.0238391,99.8276
4,0.0226223,99.7649
5,0.0344812,99.6343
6,0.0337071,99.582
7,0.033333,99.6865
8,0.0328729,99.6865
9,0.032833,99.6081
10,0.0317867,99.791
11,0.0321454,99.6865
12,0.0327792,99.6081
13,0.0333232,99.5559
14,0.0318339,99.6081
15,0.0305232,99.7649
16,0.0307333,99.7126
17,0.0310035,99.7388
18,0.0305686,99.6604
19,0.0298802,99.7126
20,0.0306518,99.6081
21,0.0298803,99.6604
22,0.030082,99.6865
23,0.0298789,99.6865
24,0.0313314,99.3992
25,0.0299367,99.6604
26,0.0308147,99.5559
27,0.0305485,99.6343
28,0.0298667,99.7388
29,0.0304615,99.6865
30,0.0301853,99.6865
31,0.0290386,99.6604
32,0.0297074,99.7126
33,0.0303949,99.5559
34,0.0290221,99.7126
35,0.0290038,99.7388
36,0.0302611,99.5298
37,0.028995,99.6604
38,0.0289486,99.6604
39,0.0297902,99.6343
40,0.0296577,99.582
41,0.0301724,99.6865
42,0.0293481,99.7126
43,0.030461,99.6081
44,0.0298078,99.3992
45,0.0305186,99.5298
46,0.0303599,99.5037
47,0.0292297,99.6865
48,0.0298398,99.6081
49,0.0284891,99.6604
50,0.029292,99.5298
