round,loss,train_acc
1,0.0242231,99.8433
2,0.0238879,99.7962
3,0.0238956,99.7806
4,0.0228522,99.7962
5,0.0337355,99.791
6,0.0335242,99.6081
7,0.0333588,99.7649
8,0.0329317,99.7388
9,0.0330703,99.5559
10,0.032037,99.6081
11,0.0305408,99.7388
12,0.030179,99.791
13,0.0302388,99.8171
14,0.0312823,99.6081
15,0.0304108,99.7649
16,0.0306616,99.6604
17,0.030447,99.6865
18,0.03002,99.7649
19,0.0295889,99.6604
20,0.0294973,99.7388
21,0.0282606,99.8433
22,0.0299266,99.6865
23,0.0292866,99.7126
24,0.029368,99.6604
25,0.028363,99.7126
26,0.0297309,99.582
27,0.0282972,99.6604
28,0.0286229,99.6865
29,0.0288892,99.7126
30,0.0288564,99.6865
31,0.0292481,99.6604
32,0.0288285,99.6081
33,0.0278783,99.6604
34,0.0302122,99.5037
35,0.0287813,99.6865
36,0.0282474,99.7126
37,0.0284947,99.7388
38,0.0286179,99.7126
39,0.0301566,99.5037
40,0.0284036,99.7126
41,0.029005,99.6604
42,0.0291709,99.582
43,0.0281259,99.6604
44,0.0289375,99.7126
45,0.0286909,99.6604
46,0.0288327,99.6343
47,0.0283289,99.6343
48,0.0287801,99.6865
49,0.0280386,99.6343
50,0.0289775,99.5037
