round,loss,train_acc
1,0.023922,99.5768
2,0.0214491,99.9216
3,0.0191592,100
4,0.018177,99.9843
5,0.0261023,99.9739
6,0.0248672,99.9739
7,0.0236188,99.9739
8,0.0232531,99.9216
9,0.0221134,100
10,0.0227136,99.9478
11,0.0220781,99.9739
12,0.021747,99.9739
13,0.0221218,99.9478
14,0.0213314,99.9216
15,0.0210038,99.8694
16,0.0210047,99.9478
17,0.020617,99.9216
18,0.0206348,99.9216
19,0.0210808,99.8955
20,0.0207024,99.8433
21,0.0207963,99.8955
22,0.0204142,99.8433
23,0.021037,99.8694
24,0.0202094,99.9216
25,0.0205368,99.8171
26,0.0204144,99.8694
27,0.0203958,99.8955
28,0.0205245,99.8433
29,0.0198178,99.9216
30,0.0205092,99.8694
31,0.0205145,99.8433
32,0.0205558,99.8171
33,0.0207179,99.8171
34,0.0198045,99.8433
35,0.0207148,99.7388
36,0.0203641,99.8433
37,0.0196583,99.8955
38,0.0205357,99.8433
39,0.0203835,99.8433
40,0.0206718,99.7388
41,0.020335,99.8171
42,0.0207523,99.8171
43,0.0205309,99.7126
44,0.0203622,99.8433
45,0.0202448,99.791
46,0.0210965,99.7388
47,0.0198645,99.791
48,0.0204917,99.7388
49,0.0200573,99.791
50,0.0202611,99.7388
