round,loss,train_acc
1,0.0172734,99.7623
2,0.0158749,99.8696
3,0.0150967,99.931
4,0.0145701,99.9156
5,0.022416,99.8594
6,0.0218499,99.8594
7,0.0215363,99.7955
8,0.0212489,99.7444
9,0.0205249,99.8594
10,0.0204357,99.8211
11,0.0200129,99.7955
12,0.0202867,99.8594
13,0.0201825,99.8722
14,0.0199933,99.8466
15,0.0199051,99.8083
16,0.019834,99.7699
17,0.0196563,99.8083
18,0.0198329,99.7955
19,0.0196255,99.8338
20,0.019565,99.8083
21,0.0192869,99.8466
22,0.0194056,99.8466
23,0.0191128,99.8594
24,0.0196763,99.7827
25,0.0188146,99.9233
26,0.0189862,99.7955
27,0.0191675,99.8211
28,0.019464,99.7827
29,0.019275,99.8211
30,0.0196829,99.8338
31,0.0191783,99.8083
32,0.0189915,99.8466
33,0.0189052,99.7188
34,0.0192047,99.7827
35,0.0202222,99.6933
36,0.0191837,99.7699
37,0.0189709,99.8211
38,0.0190068,99.8083
39,0.0189048,99.8338
40,0.0187966,99.8594
41,0.0190927,99.7827
42,0.0186383,99.7827
43,0.0185356,99.7827
44,0.0185108,99.8338
45,0.0189117,99.7699
46,0.0186223,99.7827
47,0.018873,99.7699
48,0.0183238,99.8083
49,0.0189044,99.7955
50,0.0191564,99.6805
51,0.0187625,99.8338
52,0.0183181,99.7827
53,0.0191445,99.7316
