epoch,train_loss,train_acc,test_acc
1,0.169653,95.0117,70.08
2,0.149158,95.6103,77.07
3,0.140855,95.8257,81.05
4,0.135982,95.9693,81.86
5,0.135813,95.9833,82.27
6,0.134283,96.0422,81.75
7,0.132865,96.0533,83.2
8,0.131809,96.1328,83.53
9,0.130544,96.1672,83.47
10,0.129452,96.2083,84.46
11,0.128544,96.2172,83.51
12,0.128005,96.24,84.21
13,0.127071,96.2939,84.51
14,0.126366,96.2933,83.74
15,0.125778,96.3072,83.21
16,0.125284,96.305,83.52
17,0.124718,96.3439,84.25
18,0.124114,96.3867,83.87
19,0.123734,96.36,84.42
20,0.123441,96.3661,84.26
21,0.122973,96.3961,84.51
22,0.122332,96.4167,84.24
23,0.122312,96.4189,83.96
24,0.121599,96.4389,84.24
25,0.121452,96.4372,84.45
26,0.120915,96.4794,84.21
27,0.120772,96.4444,84.35
28,0.120633,96.4661,83.77
29,0.120235,96.4783,84.64
30,0.11972,96.5022,84.62
31,0.119566,96.4922,83.44
32,0.119155,96.4961,84.46
33,0.119151,96.4994,84.71
34,0.118847,96.525,84.55
35,0.118582,96.5494,85.06
36,0.118417,96.5183,84.3
37,0.118089,96.5267,84.86
38,0.117828,96.58,84.06
39,0.117581,96.56,84.98
40,0.117468,96.5456,84.6
