round,loss,train_acc
1,0.0787233,97.8708
2,0.0747614,98.0362
3,0.0716491,98.1809
4,0.0692313,98.2739
5,0.0832243,98.0879
6,0.081566,98.0534
7,0.0797447,98.2084
8,0.0777013,98.2601
9,0.0776122,98.3118
10,0.0751361,98.3463
11,0.0741123,98.2429
12,0.0725002,98.5013
13,0.0723869,98.5357
14,0.0703913,98.5702
15,0.071369,98.4841
16,0.0708196,98.6563
17,0.0698605,98.6219
18,0.0686608,98.6047
19,0.0674738,98.5874
20,0.0672814,98.6047
21,0.0667522,98.6563
22,0.0661914,98.6736
23,0.0666034,98.6047
24,0.0663401,98.6908
25,0.0648158,98.708
26,0.0652519,98.708
27,0.0648007,98.6391
28,0.0647572,98.6563
29,0.0643523,98.6047
30,0.0653232,98.5013
31,0.0636743,98.6219
32,0.0635614,98.6736
33,0.0631271,98.6908
34,0.0623097,98.6736
35,0.0631105,98.5013
36,0.062607,98.7252
37,0.0623793,98.6563
38,0.0620869,98.6563
39,0.0631382,98.553
40,0.0618671,98.6391
41,0.0609998,98.7941
42,0.06177,98.5874
43,0.0618366,98.6736
44,0.0604835,98.5702
45,0.06121,98.5874
46,0.0611608,98.708
47,0.0606706,98.5702
48,0.0598508,98.6736
49,0.0602632,98.6391
50,0.0598833,98.6563
