epoch,train_loss,train_acc,test_acc
1,0.0336865,99.242,57.3
2,0.0312439,99.391,74.72
3,0.029444,99.4823,80.31
4,0.0282846,99.5063,82.69
5,0.0361795,99.4294,83.98
6,0.0352428,99.4528,84.66
7,0.0344769,99.4639,85.22
8,0.0338126,99.4483,85.77
9,0.0333042,99.4689,86.14
10,0.0327271,99.4572,86.51
11,0.0324078,99.4744,86.77
12,0.032231,99.4656,86.9
13,0.0318059,99.4694,87.22
14,0.0315008,99.4694,87.34
15,0.031278,99.4733,87.43
16,0.0310058,99.4644,87.56
17,0.0309758,99.46,87.62
18,0.0307526,99.4567,87.8
19,0.0306083,99.4617,87.9
20,0.0303844,99.4606,87.98
21,0.0302725,99.47,88.06
22,0.030102,99.4556,88.13
23,0.0300117,99.4633,88.3
24,0.030048,99.4517,88.38
25,0.0298417,99.4656,88.41
26,0.029541,99.465,88.53
27,0.0295996,99.46,88.58
28,0.0295095,99.4494,88.62
29,0.0294382,99.4639,88.62
30,0.0294303,99.4567,88.76
31,0.0292136,99.465,88.79
32,0.0291598,99.4611,88.86
33,0.0290685,99.4628,88.86
34,0.0289729,99.455,88.96
35,0.0289144,99.4561,88.98
36,0.0288549,99.47,89
37,0.0287214,99.4594,89.05
38,0.0286477,99.4567,89.05
39,0.0287507,99.4583,89.07
40,0.0286504,99.4478,89.08
41,0.0285926,99.4661,89.13
42,0.0285757,99.4517,89.15
43,0.028463,99.4533,89.12
44,0.0283716,99.4622,89.16
45,0.0283267,99.4717,89.19
46,0.0283767,99.4511,89.2
47,0.0282438,99.4556,89.23
48,0.0281515,99.4639,89.22
49,0.0281654,99.4756,89.24
50,0.0281604,99.455,89.28
