round,loss,train_acc
1,0.0302971,99.5629
2,0.0266409,99.8159
3,0.0243315,99.8696
4,0.022923,99.862
5,0.0303122,99.8211
6,0.0284178,99.8594
7,0.0277489,99.8338
8,0.0265599,99.8211
9,0.025913,99.8338
10,0.0254652,99.7955
11,0.0251291,99.8083
12,0.0248072,99.7955
13,0.0243348,99.7699
14,0.0239138,99.7444
15,0.0240014,99.7572
16,0.0233833,99.7955
17,0.02327,99.6805
18,0.0230484,99.6933
19,0.0231859,99.7316
20,0.0227536,99.6933
21,0.0231559,99.6805
22,0.0228019,99.6293
23,0.0230139,99.6549
24,0.0226739,99.6421
25,0.0223238,99.6805
26,0.0225385,99.7188
27,0.0217454,99.6933
28,0.0220311,99.6677
29,0.0219352,99.6421
30,0.0215056,99.6549
31,0.0213765,99.6293
32,0.0218533,99.6293
33,0.0217189,99.6293
34,0.0220092,99.6293
35,0.0214744,99.591
36,0.0214091,99.6805
37,0.0216009,99.6293
38,0.0215125,99.6421
39,0.0213542,99.6293
40,0.0208739,99.6805
41,0.0207489,99.6549
42,0.0212405,99.6421
43,0.0212134,99.6677
44,0.0207645,99.6549
45,0.0209681,99.6933
46,0.0206707,99.6293
47,0.0205288,99.6549
48,0.0208085,99.6677
49,0.0205395,99.6421
50,0.0208364,99.6549
