round,loss,train_acc
1,0.012763,99.8313
2,0.0113139,99.9617
3,0.010067,99.9847
4,0.00958257,100
5,0.0140608,99.9489
6,0.0136171,99.9744
7,0.0134064,99.9872
8,0.0132365,99.9617
9,0.0133691,99.9361
10,0.0131101,99.9617
11,0.0127814,99.9744
12,0.01281,99.9744
13,0.013025,99.9361
14,0.0124546,99.9489
15,0.0128576,99.9361
16,0.0128736,99.9361
17,0.0124736,99.9617
18,0.0125842,99.9361
19,0.0128039,99.8978
20,0.012708,99.9105
21,0.0127905,99.9105
22,0.0127699,99.9233
23,0.0126704,99.9233
24,0.0126528,99.9361
25,0.0124366,99.9617
26,0.0123219,99.9489
27,0.0129931,99.8978
28,0.0124177,99.9489
29,0.0123024,99.9233
30,0.0127304,99.9233
31,0.012251,99.9105
32,0.0126358,99.8978
33,0.0122343,99.9105
34,0.0121009,99.9489
35,0.012477,99.8978
36,0.0118318,99.9489
37,0.0127057,99.9233
38,0.0121527,99.9233
39,0.0123951,99.9361
40,0.0124496,99.9233
41,0.0126471,99.8722
42,0.0123828,99.8978
43,0.0121051,99.9105
44,0.0124284,99.8722
45,0.0122018,99.9233
46,0.0121111,99.9105
47,0.0121866,99.9105
48,0.0125427,99.8978
49,0.0119724,99.9489
50,0.0125571,99.885
