round,loss,train_acc
1,0.0142487,99.7699
2,0.0126916,99.9003
3,0.011825,99.9617
4,0.0116948,99.9463
5,0.0170748,99.9361
6,0.0169092,99.9105
7,0.0162644,99.9489
8,0.0164449,99.8594
9,0.015779,99.9361
10,0.0167137,99.885
11,0.0160674,99.885
12,0.0166846,99.8211
13,0.0158251,99.885
14,0.0165494,99.885
15,0.0159013,99.8722
16,0.0160451,99.8722
17,0.016755,99.7955
18,0.0169677,99.7827
19,0.0165588,99.8466
20,0.0166278,99.7955
21,0.0168192,99.8211
22,0.0165943,99.8594
23,0.0164119,99.8211
24,0.0166627,99.8211
25,0.0166474,99.7955
26,0.016261,99.8338
27,0.0166865,99.7955
28,0.0166126,99.8338
29,0.016718,99.8338
30,0.0164566,99.8466
31,0.016722,99.7955
32,0.017224,99.8211
33,0.0169135,99.7955
34,0.017205,99.8083
35,0.0168848,99.7699
36,0.0172523,99.8083
37,0.0169555,99.8211
38,0.0170507,99.8211
39,0.0170765,99.7955
40,0.0169034,99.8083
41,0.0171646,99.8083
42,0.0179973,99.7572
43,0.0175905,99.8083
44,0.0176485,99.7316
45,0.0177844,99.7316
46,0.0174723,99.7572
47,0.0180049,99.7699
48,0.0171869,99.7827
49,0.0171801,99.8083
50,0.0170121,99.7827
51,0.0173958,99.8083
52,0.0173992,99.7699
53,0.0169183,99.706
