epoch,train_loss,train_acc,test_acc
1,0.0378328,99.2143,46.22
2,0.035231,99.431,64.99
3,0.0333006,99.5293,73.14
4,0.0318758,99.5907,77.5
5,0.0438692,99.5,79.93
6,0.0425347,99.5161,81.27
7,0.0416404,99.5422,82.33
8,0.0408085,99.5439,83.06
9,0.040196,99.5311,83.78
10,0.039731,99.5394,84.25
11,0.0390263,99.5506,84.87
12,0.0386856,99.5528,85.3
13,0.0381876,99.5478,85.81
14,0.0381164,99.5333,86.08
15,0.0377691,99.5572,86.32
16,0.0376376,99.5256,86.61
17,0.0372359,99.5444,86.85
18,0.0373108,99.5228,87.03
19,0.0369593,99.5172,87.15
20,0.0366882,99.54,87.28
21,0.036627,99.5128,87.42
22,0.0366097,99.5239,87.56
23,0.0365931,99.4978,87.67
24,0.0362258,99.5111,87.79
25,0.0362689,99.485,87.87
26,0.0360802,99.505,88.07
27,0.0360797,99.4994,88.1
28,0.0358526,99.4928,88.15
29,0.0360055,99.4839,88.2
30,0.0358079,99.4883,88.33
31,0.0357018,99.4839,88.46
32,0.035657,99.475,88.55
33,0.035553,99.4606,88.6
34,0.0354902,99.4744,88.7
35,0.035345,99.4761,88.73
36,0.0353729,99.4817,88.74
37,0.0354406,99.4672,88.78
38,0.0353126,99.4678,88.83
39,0.035212,99.4694,88.8
40,0.0352303,99.4739,88.8
41,0.035048,99.4833,88.88
42,0.0352109,99.4717,88.92
43,0.0351864,99.4433,88.92
