round,loss,train_acc
1,0.118207,96.8495
2,0.112622,97.1787
3,0.108604,97.4295
4,0.106064,97.6176
5,0.127086,97.3093
6,0.124247,97.2832
7,0.12157,97.7011
8,0.119508,97.675
9,0.116616,97.6489
10,0.114545,97.7273
11,0.112662,97.6489
12,0.111001,97.7795
13,0.109163,97.8579
14,0.109236,97.675
15,0.107307,97.7795
16,0.106066,97.7011
17,0.106305,97.675
18,0.106083,97.675
19,0.10483,97.675
20,0.103812,97.7534
21,0.104263,97.5705
22,0.103629,97.7273
23,0.102377,97.7273
24,0.101098,97.675
25,0.101063,97.5444
26,0.100746,97.8056
27,0.100625,97.6489
28,0.100587,97.7273
29,0.0997974,97.6489
30,0.0991062,97.5183
31,0.0980245,97.7273
32,0.0980857,97.675
33,0.0985443,97.7795
34,0.0978938,97.7011
35,0.0969215,97.7273
36,0.0984159,97.6489
37,0.0974864,97.6228
38,0.096465,97.7273
39,0.0962255,97.8318
40,0.0971169,97.7534
41,0.0954317,97.7273
42,0.0955469,97.7534
43,0.0958852,97.7273
44,0.0961112,97.675
45,0.0951885,97.8056
46,0.0951857,98.0146
47,0.0948251,97.8579
48,0.0942794,97.8579
49,0.0944715,97.7795
50,0.0936811,97.8056
