round,loss,train_acc
1,0.0278742,99.4984
2,0.0257496,99.5611
3,0.0246773,99.5611
4,0.0235761,99.6081
5,0.0341877,99.6343
6,0.033859,99.5037
7,0.0334249,99.6865
8,0.0333097,99.5037
9,0.0332072,99.6081
10,0.0320332,99.582
11,0.0304809,99.7388
12,0.0301465,99.7126
13,0.0301398,99.791
14,0.0311813,99.6604
15,0.0303563,99.7388
16,0.0305104,99.6343
17,0.0303647,99.7126
18,0.0301122,99.791
19,0.0293764,99.6604
20,0.0292998,99.7126
21,0.0282122,99.8694
22,0.0297398,99.7649
23,0.0292566,99.7126
24,0.0292747,99.7388
25,0.0282935,99.8171
26,0.0298473,99.5559
27,0.0282952,99.6604
28,0.0285766,99.7126
29,0.0287209,99.791
30,0.0288046,99.7126
31,0.0290749,99.7126
32,0.0287228,99.6081
33,0.0277852,99.6604
34,0.0301755,99.4775
35,0.0287185,99.6865
36,0.0282766,99.6343
37,0.0284754,99.7388
38,0.0285097,99.7126
39,0.0300856,99.5298
40,0.028367,99.7388
41,0.0289756,99.6343
42,0.0291431,99.6343
43,0.0280224,99.6865
44,0.0290239,99.6865
45,0.0286346,99.6081
46,0.0287895,99.6343
47,0.0282349,99.6343
48,0.0287862,99.6604
49,0.0280324,99.6865
50,0.0289439,99.5298
