strategy,data_distribution,num_nodes,num_processes,speedup_mean,speedup_std,fed_time_mean_s,epochs_to_80_mean,n_reps
fixed_ppn,label_shard_noniid,3,24,1.4563,0.0687,19.895,3.33,3
fixed_ppn,label_shard_noniid,4,32,4.2891,0.0414,6.740,4.00,3
fixed_ppn,label_shard_noniid,6,48,3.0433,0.1430,9.520,5.00,3
fixed_total,label_shard_noniid,3,48,2.8056,0.0147,10.303,5.00,3
fixed_total,label_shard_noniid,4,48,4.2994,0.0816,6.726,5.33,3
fixed_total,label_shard_noniid,6,48,3.0433,0.1430,9.520,5.00,3
fixed_total,label_shard_noniid,8,48,1.7512,0.0026,16.506,5.33,3
