epoch,train_loss,train_acc,test_acc
1,0.555853,86.175,89.93
2,0.366088,89.775,90.86
3,0.336814,90.4817,91.13
4,0.321577,90.8433,91.27
5,0.311876,91.1717,91.55
6,0.304941,91.3833,91.68
7,0.299641,91.5217,91.85
8,0.295354,91.63,91.85
9,0.291793,91.7733,92.05
10,0.288904,91.8383,91.88
11,0.286355,91.9067,92.12
12,0.283998,92.0133,92.13
13,0.282219,92.0583,92.05
14,0.280059,92.12,92.03
15,0.278492,92.2217,92.14
16,0.277197,92.2833,92.06
17,0.275749,92.255,92.21
18,0.27464,92.2983,92.04
19,0.273205,92.3933,92.3
20,0.272334,92.3233,92.15
21,0.271303,92.415,92.11
22,0.270398,92.4533,92.23
23,0.26936,92.4517,92.17
24,0.268619,92.5083,92.2
25,0.267746,92.5667,92.24
26,0.267061,92.5483,92.29
27,0.266286,92.585,92.21
28,0.265646,92.5833,92.28
29,0.264885,92.6417,92.25
30,0.264469,92.6667,92.37
31,0.263733,92.6817,92.33
32,0.263101,92.6717,92.46
33,0.262582,92.7067,92.29
34,0.262097,92.7267,92.36
35,0.261539,92.75,92.39
36,0.260912,92.8233,92.39
37,0.260385,92.8067,92.2
38,0.260105,92.7783,92.42
39,0.259577,92.79,92.26
40,0.259194,92.8583,92.41
