round,loss,train_acc
1,0.146542,95.3693
2,0.134914,95.7893
3,0.128059,96.0053
4,0.124002,96.1253
5,0.125751,96.2067
6,0.123717,96.2644
7,0.122044,96.2289
8,0.120623,96.3267
9,0.119516,96.3622
10,0.118175,96.38
11,0.117431,96.3911
12,0.116697,96.44
13,0.116101,96.4689
14,0.115061,96.4556
15,0.114378,96.5244
16,0.114166,96.4778
17,0.113147,96.5578
18,0.112769,96.5689
19,0.112218,96.5822
20,0.111807,96.6156
21,0.11128,96.54
22,0.111131,96.6556
23,0.11057,96.6578
24,0.109992,96.6644
25,0.109651,96.6756
26,0.109175,96.68
27,0.109056,96.6956
28,0.108649,96.6844
29,0.108441,96.6778
30,0.108465,96.6689
31,0.107679,96.6822
32,0.107505,96.6844
33,0.107165,96.7667
34,0.106965,96.7622
35,0.106889,96.7756
36,0.106783,96.7778
37,0.106323,96.7911
38,0.106371,96.7444
39,0.106022,96.8022
40,0.106146,96.7933
