epoch,train_loss,train_acc,test_acc
1,0.102307,96.9303,42.13
2,0.09265,97.2387,60.11
3,0.0872403,97.392,69.39
4,0.0839429,97.4973,73.24
5,0.0860732,97.4672,76.39
6,0.0845262,97.5211,77.58
7,0.0832198,97.5461,78.85
8,0.082133,97.5833,79.78
9,0.081404,97.5956,80.26
10,0.0802774,97.6161,80.32
11,0.0797211,97.6433,80.97
12,0.0791241,97.6611,80.95
13,0.0785556,97.6561,81.18
14,0.0778531,97.6811,82.27
15,0.077365,97.7017,82.15
16,0.0768627,97.71,82.02
17,0.0763136,97.725,82.54
18,0.0760112,97.7528,82.62
19,0.0755127,97.7628,82.51
20,0.0752215,97.7789,82.53
21,0.0749053,97.745,82.63
22,0.0745845,97.7928,82.73
23,0.0743247,97.8167,82.84
24,0.0738834,97.8111,82.99
25,0.0734873,97.84,82.84
26,0.0733238,97.8144,82.83
27,0.0730949,97.8267,82.81
28,0.0726812,97.8639,82.86
29,0.0724486,97.8689,83.11
30,0.0723331,97.8506,83.01
31,0.0720454,97.8533,83.54
32,0.0718149,97.865,83.08
33,0.0715414,97.8906,83.09
34,0.0713817,97.9094,83.25
35,0.0711554,97.9067,83.61
36,0.0710582,97.8856,83.39
37,0.0708605,97.9128,83.43
38,0.0707548,97.9133,83.21
39,0.0704856,97.9217,82.85
40,0.0704127,97.9156,83.07
