round,loss,train_acc
1,0.106227,96.784
2,0.0975935,97.072
3,0.0932193,97.208
4,0.0904493,97.3533
5,0.0927478,97.2644
6,0.0915372,97.3
7,0.090295,97.3844
8,0.0894417,97.3644
9,0.0889552,97.3289
10,0.0879958,97.4267
11,0.0875417,97.4822
12,0.0870396,97.4556
13,0.0864339,97.4156
14,0.0860092,97.4822
15,0.0855223,97.4933
16,0.0849765,97.5244
17,0.0846193,97.4844
18,0.0841659,97.5622
19,0.0837571,97.5289
20,0.0836229,97.5711
21,0.0833445,97.5267
22,0.0829094,97.5511
23,0.0829531,97.6467
24,0.0824887,97.5822
25,0.0820127,97.6844
26,0.0819689,97.5978
27,0.0819475,97.6022
28,0.0811526,97.6911
29,0.0810068,97.7156
30,0.0809101,97.6467
31,0.0809247,97.6289
32,0.080524,97.66
33,0.0804291,97.66
34,0.0802323,97.6867
35,0.0800572,97.7067
36,0.0797116,97.6644
37,0.0797219,97.7022
38,0.0795372,97.6867
39,0.0792662,97.7067
40,0.0792965,97.6889
