round,loss,train_acc
1,0.10464,97.1147
2,0.0920079,97.4493
3,0.0850157,97.5933
4,0.080728,97.6747
5,0.0830747,97.6222
6,0.0811397,97.6822
7,0.0794504,97.7378
8,0.0781323,97.7667
9,0.07709,97.8044
10,0.0755886,97.7822
11,0.0748918,97.8067
12,0.0741711,97.8422
13,0.0734595,97.8022
14,0.0725482,97.8644
15,0.0720275,97.8489
16,0.0713862,97.8622
17,0.0706392,97.8956
18,0.0702854,97.9222
19,0.0697037,97.9444
20,0.0693418,97.9267
21,0.0689457,97.94
22,0.0685666,97.9533
23,0.0682374,97.9711
24,0.067764,97.9622
25,0.0672164,98.02
26,0.0669721,97.9644
27,0.0664736,98.0133
28,0.0663212,98.0556
29,0.0658767,98.0556
30,0.0655453,98.0467
31,0.0655279,98.08
32,0.0650618,98.0578
33,0.0646066,98.1044
34,0.0646626,98.0867
35,0.064214,98.0733
36,0.0640296,98.0756
37,0.063963,98.0844
38,0.0639119,98.1333
39,0.063326,98.0978
40,0.0630257,98.1133
