round,loss,train_acc
1,0.0518195,98.4533
2,0.0460846,98.644
3,0.0426677,98.7613
4,0.0405923,98.836
5,0.0427196,98.7756
6,0.0417103,98.8378
7,0.0410895,98.8333
8,0.0403355,98.8756
9,0.0400548,98.8867
10,0.0393507,98.8756
11,0.0390197,98.8933
12,0.0385891,98.9067
13,0.0382282,98.9378
14,0.0377936,98.9222
15,0.0375321,98.94
16,0.0369223,98.9756
17,0.0368484,98.9622
18,0.0368249,98.9578
19,0.0363719,98.9956
20,0.0361138,99.0022
21,0.036051,98.9733
22,0.0357305,99.0111
23,0.0355385,98.9911
24,0.0352894,99.0356
25,0.035069,98.98
26,0.0351795,99.0156
27,0.0349023,98.9956
28,0.0346017,99.0244
29,0.0344696,99.0267
30,0.0344123,99.04
31,0.0340502,99.0222
32,0.0341682,99.0578
33,0.0339655,99.0311
34,0.0336667,99.1022
35,0.0334613,99.0711
36,0.0337088,99.0244
37,0.0334342,99.0733
38,0.0331995,99.0889
39,0.0333281,99.08
40,0.0331823,99.0667
