round,loss,train_acc
1,0.0935311,97.6917
2,0.0890694,97.8604
3,0.0856877,97.9831
4,0.0824386,98.0828
5,0.0971721,97.9295
6,0.094422,97.9678
7,0.0925786,98.0956
8,0.0910826,98.0189
9,0.0900398,98.0956
10,0.0880123,98.0828
11,0.0867942,98.1467
12,0.0861869,98.249
13,0.0856296,98.0956
14,0.0839361,98.2362
15,0.0836062,98.2106
16,0.0825453,98.2618
17,0.0834587,98.3129
18,0.0817409,98.3129
19,0.0816979,98.1467
20,0.0813349,98.2234
21,0.0813179,98.2745
22,0.0802787,98.249
23,0.0802758,98.2362
24,0.079991,98.2362
25,0.0797571,98.249
26,0.0786199,98.1979
27,0.0789336,98.3384
28,0.0772102,98.3384
29,0.0788201,98.3257
30,0.0774523,98.3257
31,0.0774387,98.4151
32,0.0778115,98.2873
33,0.0771473,98.3129
34,0.0763038,98.479
35,0.0767387,98.3512
36,0.076137,98.4535
37,0.0753907,98.364
38,0.0763001,98.2745
39,0.0753107,98.4918
40,0.0749819,98.3384
