round,loss,train_acc
1,0.0263666,99.5141
2,0.0247613,99.8433
3,0.0231254,99.906
4,0.0225219,99.8589
5,0.0338121,99.8171
6,0.0325544,99.8955
7,0.0324994,99.8955
8,0.0321998,99.8433
9,0.0324185,99.791
10,0.0316794,99.791
11,0.0311658,99.791
12,0.0328493,99.6865
13,0.0320196,99.7649
14,0.0326746,99.7126
15,0.0333683,99.582
16,0.0337146,99.6343
17,0.0333633,99.6343
18,0.0338268,99.5298
19,0.0325821,99.5559
20,0.0327642,99.6081
21,0.0328504,99.5559
22,0.0323266,99.6343
23,0.0343408,99.5559
24,0.033444,99.4775
25,0.034173,99.4514
26,0.0345397,99.4775
27,0.034049,99.4514
28,0.0351304,99.4253
29,0.0331779,99.5559
30,0.0329562,99.6604
31,0.0340292,99.6081
32,0.0346642,99.5298
33,0.0342838,99.4775
34,0.0337612,99.4253
35,0.0348192,99.4775
36,0.0348923,99.582
37,0.0338739,99.582
38,0.0349114,99.3992
39,0.0343966,99.582
40,0.0352153,99.5298
41,0.0344166,99.5298
42,0.0352981,99.4775
43,0.034714,99.4775
44,0.035162,99.5298
45,0.0351021,99.5037
46,0.0356128,99.3992
47,0.0353653,99.3992
48,0.0347325,99.6081
49,0.0359757,99.2685
50,0.0357873,99.5037
