round,loss,train_acc
1,0.0262058,99.5298
2,0.024395,99.6708
3,0.022244,99.8746
4,0.0215172,99.8903
5,0.0323313,99.7388
6,0.0318414,99.7126
7,0.0312124,99.8171
8,0.0304742,99.8171
9,0.0301465,99.8694
10,0.0298086,99.8433
11,0.0308315,99.7649
12,0.0297958,99.791
13,0.0291847,99.8955
14,0.0295123,99.8955
15,0.0300642,99.7649
16,0.0290075,99.791
17,0.0298104,99.7388
18,0.0301895,99.8433
19,0.030514,99.582
20,0.0291104,99.8433
21,0.0295063,99.791
22,0.0303973,99.6343
23,0.0303031,99.7126
24,0.0299723,99.6604
25,0.029123,99.7649
26,0.0292561,99.791
27,0.0297753,99.7388
28,0.0295858,99.6343
29,0.0298102,99.6604
30,0.0308627,99.7126
31,0.0288297,99.6604
32,0.0290465,99.6343
33,0.0276912,99.7388
34,0.0290828,99.7126
35,0.0286477,99.6865
36,0.0282564,99.791
37,0.0296637,99.7126
38,0.0285105,99.7649
39,0.0293963,99.7388
40,0.0299577,99.7126
41,0.0294764,99.6343
42,0.0293591,99.6604
43,0.0294454,99.6343
44,0.0286857,99.6865
45,0.0294686,99.6081
46,0.0299705,99.6343
47,0.0293791,99.6865
48,0.0290497,99.6865
49,0.0283169,99.7126
50,0.0290221,99.7126
