round,loss,train_acc
1,0.0703866,97.862
2,0.065094,98.116
3,0.0619965,98.17
4,0.059362,98.254
5,0.0637162,98.18
6,0.0618032,98.1767
7,0.060991,98.2067
8,0.0596065,98.3033
9,0.0588957,98.28
10,0.0581531,98.3067
11,0.0576531,98.31
12,0.0566594,98.3933
13,0.0561575,98.4233
14,0.0559693,98.43
15,0.0555285,98.4067
16,0.0550723,98.37
17,0.0548612,98.4233
18,0.0543886,98.4467
19,0.0540662,98.42
20,0.0536712,98.4933
21,0.053553,98.4433
22,0.0530974,98.4833
23,0.0527485,98.48
24,0.0526102,98.4767
25,0.0524113,98.48
26,0.0521331,98.5
27,0.0519896,98.49
28,0.0516922,98.5667
29,0.0514493,98.5367
30,0.0513687,98.5433
31,0.0513767,98.55
32,0.050965,98.5633
33,0.0510272,98.5767
34,0.0505927,98.53
35,0.050594,98.5167
36,0.0503324,98.6533
37,0.0502972,98.58
38,0.0502872,98.5633
39,0.050232,98.55
40,0.0496748,98.57
41,0.0496894,98.5867
42,0.049447,98.61
43,0.0495427,98.6167
44,0.0494055,98.5967
45,0.0494424,98.5633
