round,loss,train_acc
1,0.086081,97.4565
2,0.0802143,97.6789
3,0.0776424,97.7273
4,0.0753869,97.9304
5,0.0916823,97.5339
6,0.0890585,97.7273
7,0.0876853,97.6789
8,0.0853725,97.824
9,0.0832118,97.8885
10,0.0818315,97.9046
11,0.0821357,97.8401
12,0.0795484,98.0174
13,0.0793063,97.8885
14,0.0782171,98.0335
15,0.0770299,98.0013
16,0.0762592,98.0013
17,0.0760373,98.1141
18,0.0749314,98.098
19,0.0743138,98.098
20,0.0735693,98.1141
21,0.0721488,98.2108
22,0.0724925,98.1625
23,0.0714531,98.227
24,0.0707296,98.1464
25,0.0707864,98.1625
26,0.0703751,98.2108
27,0.0699702,98.2914
28,0.0689883,98.3075
29,0.0694334,98.1947
30,0.0681942,98.2592
31,0.0682873,98.2592
32,0.0682221,98.4204
33,0.0680541,98.3881
34,0.0677394,98.2914
35,0.0664628,98.4043
36,0.0664503,98.4204
37,0.066393,98.2592
38,0.0659322,98.3559
39,0.0662119,98.3237
40,0.0659919,98.4043
41,0.0655112,98.372
42,0.0655481,98.4204
43,0.0645576,98.4526
44,0.0644218,98.4526
45,0.065038,98.4365
46,0.0647678,98.4043
47,0.0641698,98.3398
48,0.0634335,98.372
49,0.0630686,98.5332
50,0.0632399,98.3559
51,0.0637686,98.4526
52,0.0623173,98.5171
53,0.0631113,98.5332
54,0.062746,98.5654
