epoch,train_loss,train_acc,test_acc
1,0.0338952,99.2257,51.72
2,0.0313411,99.392,72.78
3,0.0294843,99.4787,80.46
4,0.0282997,99.51,83.02
5,0.0362116,99.4383,84.29
6,0.0352431,99.4539,85.16
7,0.0344816,99.4556,85.66
8,0.0337884,99.4583,86.15
9,0.0333019,99.4644,86.35
10,0.0326871,99.4689,86.58
11,0.0323672,99.4706,86.81
12,0.0321876,99.4689,86.98
13,0.0317748,99.4661,87.24
14,0.0314648,99.4672,87.43
15,0.0312385,99.4633,87.57
16,0.0309503,99.4644,87.82
17,0.0309216,99.4606,87.83
18,0.0306973,99.4661,87.81
19,0.0305628,99.4622,87.93
20,0.0303208,99.4672,88.16
21,0.0302322,99.4667,88.26
22,0.0300602,99.4567,88.31
23,0.029971,99.4728,88.53
24,0.0299967,99.45,88.57
25,0.0297915,99.4739,88.54
26,0.0295151,99.4678,88.63
27,0.0295485,99.4656,88.68
28,0.0294684,99.4561,88.76
29,0.029399,99.4667,88.76
30,0.0293802,99.4611,88.78
31,0.0291797,99.4678,88.83
32,0.0291245,99.4661,88.87
33,0.0290335,99.4633,88.89
34,0.028948,99.4583,88.96
35,0.0288822,99.4561,88.99
36,0.0288122,99.475,89
37,0.0286744,99.4611,89.02
38,0.0286281,99.4617,89.06
39,0.0287198,99.4617,89.09
40,0.028623,99.4628,89.14
41,0.0285673,99.4561,89.11
42,0.0285407,99.4511,89.15
43,0.0284466,99.4672,89.2
44,0.028349,99.4578,89.22
45,0.028299,99.48,89.28
46,0.0283537,99.455,89.33
47,0.0282147,99.4517,89.31
48,0.0281258,99.465,89.32
49,0.0281446,99.4733,89.36
50,0.0281371,99.46,89.34
