round,loss,train_acc
1,0.0137104,99.7713
2,0.0129146,99.8704
3,0.0119922,99.9009
4,0.0113679,99.939
5,0.0177227,99.8222
6,0.0171588,99.8476
7,0.0168588,99.8349
8,0.0166351,99.873
9,0.0164565,99.8857
10,0.0167502,99.8349
11,0.0158234,99.9111
12,0.0162866,99.8984
13,0.0162589,99.8476
14,0.0162954,99.7713
15,0.0162135,99.8857
16,0.0160049,99.8349
17,0.0156821,99.8603
18,0.0160947,99.8222
19,0.0156694,99.8349
20,0.0161598,99.7967
21,0.0156294,99.8603
22,0.016339,99.7713
23,0.0161159,99.784
24,0.0160975,99.8094
25,0.0159571,99.784
26,0.0155967,99.8603
27,0.0153045,99.8857
28,0.0155899,99.8603
29,0.015816,99.8094
30,0.0154624,99.8603
31,0.016146,99.7332
32,0.0158127,99.8476
33,0.0161615,99.7586
34,0.0155128,99.8349
35,0.0156899,99.8222
36,0.0155294,99.8603
37,0.0157192,99.7967
38,0.0153934,99.8094
39,0.015678,99.8349
40,0.0160094,99.7713
41,0.0156394,99.7586
42,0.0160296,99.7459
43,0.0157077,99.7967
44,0.0157446,99.784
45,0.0158543,99.8094
46,0.0156667,99.8222
47,0.0158182,99.784
48,0.0157598,99.784
49,0.0158643,99.7967
50,0.015489,99.784
