round,loss,train_acc
1,0.0139142,99.7546
2,0.012124,99.7853
3,0.0105154,99.9387
4,0.00996762,99.9387
5,0.0144276,99.9233
6,0.0136867,99.9617
7,0.0137321,99.9617
8,0.0134693,99.9233
9,0.0130548,99.9744
10,0.0133246,99.9105
11,0.0131244,99.9361
12,0.0132787,99.9233
13,0.012419,99.9489
14,0.012948,99.8978
15,0.0126037,99.9361
16,0.0126701,99.9489
17,0.0126935,99.9105
18,0.0122905,99.9361
19,0.0123533,99.9233
20,0.0130157,99.8594
21,0.0123584,99.8978
22,0.0125805,99.8978
23,0.012377,99.9105
24,0.0121819,99.9105
25,0.0124257,99.885
26,0.0126598,99.8594
27,0.0121192,99.9489
28,0.0120412,99.8594
29,0.0124199,99.8466
30,0.0121512,99.8594
31,0.0123277,99.8722
32,0.0121323,99.885
33,0.012134,99.8466
34,0.012104,99.9105
35,0.0120312,99.885
36,0.0122893,99.8722
37,0.0120466,99.8722
38,0.0119563,99.9233
39,0.0125393,99.8466
40,0.0118312,99.8978
41,0.011733,99.8594
42,0.0125568,99.885
43,0.0119731,99.8722
44,0.0122787,99.8083
45,0.0119964,99.885
46,0.0122819,99.885
47,0.0119316,99.8466
48,0.0121006,99.8722
49,0.0121085,99.8466
50,0.0117451,99.8594
