round,loss,train_acc
1,0.104471,97.1107
2,0.0919634,97.4467
3,0.0849885,97.5707
4,0.0807099,97.6507
5,0.0830549,97.6244
6,0.0811202,97.7022
7,0.0794389,97.7444
8,0.0781229,97.7533
9,0.077083,97.7956
10,0.0755801,97.7711
11,0.0748928,97.7956
12,0.0741721,97.8311
13,0.0734733,97.8178
14,0.0725496,97.8733
15,0.0720297,97.8667
16,0.0713885,97.8489
17,0.0706512,97.8911
18,0.0702952,97.9133
19,0.0697091,97.9356
20,0.0693727,97.9356
21,0.0689667,97.9378
22,0.0685814,97.9556
23,0.0682509,97.9689
24,0.0677873,97.9489
25,0.0672311,98.0111
26,0.0669859,97.98
27,0.0665013,98.0267
28,0.0663454,98.0289
29,0.0658943,98.0444
30,0.0655771,98.04
31,0.0655515,98.0756
32,0.0650942,98.0533
33,0.0646306,98.0956
34,0.0646727,98.0978
35,0.0642305,98.0822
36,0.0640451,98.0644
37,0.0639751,98.0978
38,0.0639292,98.12
39,0.0633493,98.0933
40,0.0630483,98.1267
