round,loss,train_acc
1,0.1059,96.7947
2,0.0974898,97.0893
3,0.0932335,97.212
4,0.0904977,97.3533
5,0.092806,97.2911
6,0.0915987,97.3178
7,0.0903658,97.3733
8,0.0895106,97.3578
9,0.0890388,97.3378
10,0.0880864,97.4578
11,0.0876193,97.4889
12,0.0871002,97.4756
13,0.0865083,97.4378
14,0.0860695,97.4844
15,0.0856017,97.5111
16,0.0850351,97.5267
17,0.0846827,97.5
18,0.0842406,97.56
19,0.0838229,97.5511
20,0.0836857,97.5533
21,0.0833988,97.5133
22,0.0829731,97.5711
23,0.0829951,97.6244
24,0.0825313,97.5978
25,0.082059,97.6689
26,0.0820143,97.5978
27,0.0819966,97.6222
28,0.0812079,97.68
29,0.0810623,97.7111
30,0.080954,97.6267
31,0.0809506,97.6289
32,0.080581,97.6556
33,0.0804765,97.6489
34,0.0802707,97.6889
35,0.0801015,97.6867
36,0.0797394,97.6422
37,0.0797591,97.6978
38,0.0795689,97.6822
39,0.0793016,97.6978
40,0.0793305,97.7044
