round,loss,train_acc
1,0.14674,95.404
2,0.135294,95.7893
3,0.128421,95.9907
4,0.124273,96.1347
5,0.126016,96.1578
6,0.123943,96.2356
7,0.122249,96.2111
8,0.120786,96.2956
9,0.119665,96.3156
10,0.118294,96.3667
11,0.117544,96.3822
12,0.116796,96.4044
13,0.116162,96.4578
14,0.115135,96.4333
15,0.114445,96.5044
16,0.114211,96.4778
17,0.113193,96.5356
18,0.112806,96.5689
19,0.112249,96.5556
20,0.111837,96.6067
21,0.111325,96.5711
22,0.111154,96.6556
23,0.110593,96.6267
24,0.11002,96.6778
25,0.10966,96.6756
26,0.109192,96.6889
27,0.109076,96.7267
28,0.108654,96.6956
29,0.108465,96.6978
30,0.10847,96.6889
31,0.107687,96.66
32,0.107512,96.6978
33,0.107169,96.7733
34,0.106988,96.7489
35,0.106904,96.7778
36,0.106794,96.7956
37,0.106333,96.8133
38,0.106383,96.7333
39,0.106037,96.8022
40,0.106159,96.7756
