round,loss,train_acc
1,0.128424,96.2382
2,0.122103,96.7555
3,0.118894,96.8966
4,0.115813,97.0063
5,0.143556,96.4995
6,0.140676,96.6823
7,0.136842,96.9436
8,0.133813,96.813
9,0.132877,96.7607
10,0.130006,96.8391
11,0.127891,97.1526
12,0.126603,96.9174
13,0.123434,96.9174
14,0.124325,96.7607
15,0.121148,97.1787
16,0.120481,97.0219
17,0.118674,97.2832
18,0.117748,97.2048
19,0.117053,97.2832
20,0.114903,97.3354
21,0.114172,97.2048
22,0.11454,97.257
23,0.11292,97.6228
24,0.112584,97.1264
25,0.112435,97.2832
26,0.110576,97.2309
27,0.111941,97.1264
28,0.108877,97.5183
29,0.109583,97.4138
30,0.109438,97.4399
31,0.108866,97.5183
32,0.107213,97.3093
33,0.106963,97.5183
34,0.105834,97.6489
35,0.105201,97.5444
36,0.106287,97.6489
37,0.106952,97.2832
38,0.104489,97.3093
39,0.10449,97.675
40,0.104005,97.7273
