round,loss,train_acc
1,0.0248058,99.4984
2,0.0226037,99.5298
3,0.0195539,99.8746
4,0.0186285,99.906
5,0.0274269,99.8694
6,0.026974,99.8694
7,0.0265228,99.9216
8,0.0246072,99.9478
9,0.0250461,99.8433
10,0.0240894,99.9216
11,0.0246668,99.8433
12,0.0248441,99.8694
13,0.0240104,99.8694
14,0.0232662,99.8955
15,0.0233768,99.9216
16,0.0229318,99.8955
17,0.0230707,99.8694
18,0.0238826,99.791
19,0.0229436,99.8694
20,0.0229511,99.7649
21,0.0230117,99.7649
22,0.0229359,99.791
23,0.0223258,99.8433
24,0.0224978,99.8171
25,0.022316,99.7649
26,0.022832,99.8171
27,0.0224221,99.791
28,0.0224446,99.791
29,0.0223135,99.791
30,0.0223209,99.7388
31,0.0215927,99.8433
32,0.0222764,99.7649
33,0.0220094,99.791
34,0.023088,99.6865
35,0.0222701,99.8171
36,0.0225839,99.6604
37,0.0218644,99.791
38,0.0227552,99.8171
39,0.0223058,99.6604
40,0.0213395,99.6604
