round,loss,train_acc
1,0.0339573,99.5298
2,0.0324152,99.7335
3,0.03156,99.7335
4,0.0303351,99.7806
5,0.0466976,99.5559
6,0.045424,99.5298
7,0.0447884,99.6343
8,0.0453443,99.5298
9,0.0441826,99.582
10,0.0429051,99.5298
11,0.0430279,99.5559
12,0.0425444,99.6604
13,0.0423914,99.6604
14,0.0425226,99.5037
15,0.0409976,99.6604
16,0.0414836,99.7126
17,0.0409042,99.6081
18,0.0413424,99.6343
19,0.0413285,99.5298
20,0.0396614,99.6604
21,0.0392846,99.6865
22,0.0393178,99.8694
23,0.0405022,99.582
24,0.0403636,99.6081
25,0.0397901,99.6865
26,0.0403034,99.6865
27,0.0398884,99.582
28,0.0397735,99.5559
29,0.0404369,99.4514
30,0.0398357,99.4775
31,0.0395218,99.6343
32,0.0399681,99.582
33,0.0389824,99.6604
34,0.0385007,99.6604
35,0.0381089,99.6343
36,0.0384358,99.6343
37,0.0388362,99.6604
38,0.038306,99.6604
39,0.0386662,99.6343
40,0.0389202,99.582
