epoch,train_loss,train_acc,test_acc
1,0.0377648,99.2483,45.13
2,0.0352482,99.4253,66.92
3,0.0334066,99.527,75.55
4,0.0319253,99.5947,78.94
5,0.0439739,99.4967,81.02
6,0.0426446,99.5272,82.27
7,0.0417672,99.5456,83.12
8,0.0409677,99.5467,83.75
9,0.0403272,99.5394,84.33
10,0.0398381,99.5494,84.9
11,0.0391512,99.5506,85.29
12,0.0388085,99.5422,85.61
13,0.038282,99.5667,86.01
14,0.0381917,99.5428,86.24
15,0.0378695,99.555,86.55
16,0.0377084,99.5239,86.72
17,0.0373087,99.5383,86.89
18,0.0373681,99.5183,87.12
19,0.0370323,99.5167,87.33
20,0.0367531,99.5367,87.45
21,0.0366905,99.5133,87.57
22,0.0366645,99.5189,87.71
23,0.036628,99.4989,87.85
24,0.0362603,99.5156,88
25,0.0363139,99.4911,88.16
26,0.0361295,99.495,88.31
27,0.0361142,99.4817,88.43
28,0.0358979,99.4878,88.47
29,0.0360239,99.4783,88.57
30,0.0358271,99.4822,88.59
31,0.0357058,99.4944,88.65
32,0.0356871,99.4617,88.66
33,0.0355691,99.4594,88.76
34,0.0355082,99.4728,88.84
35,0.0353489,99.4883,88.9
36,0.0353865,99.4711,88.93
37,0.0354529,99.4622,88.93
38,0.0353275,99.4567,88.92
39,0.0352137,99.4828,89
40,0.0352309,99.4767,89
