epoch,train_loss,train_acc,test_acc
1,0.0325882,99.2323,47.68
2,0.0298886,99.3593,61.69
3,0.0281834,99.4073,68.14
4,0.0270481,99.4347,72.89
5,0.0331665,99.3772,76.28
6,0.0322156,99.4033,77.79
7,0.0315031,99.395,79.54
8,0.030834,99.4272,80.55
9,0.0305986,99.4083,81.33
10,0.0300628,99.4261,82.13
11,0.0297011,99.4083,82.58
12,0.0294178,99.4161,83.02
13,0.0291107,99.4344,83.38
14,0.0289654,99.4267,83.69
15,0.0286512,99.4244,84.1
16,0.0285969,99.4267,84.3
17,0.0283786,99.4178,84.56
18,0.0279745,99.4433,84.81
19,0.0280278,99.4361,84.86
20,0.0278413,99.4289,85.17
21,0.0276478,99.4439,85.37
22,0.0276625,99.4467,85.43
23,0.0274431,99.435,85.62
24,0.0274513,99.4378,85.58
25,0.0271925,99.445,85.77
26,0.027223,99.435,85.74
27,0.0270054,99.4444,85.88
28,0.0271191,99.4367,86.06
29,0.0269297,99.4528,86.13
30,0.0266624,99.455,86.22
31,0.0268261,99.4339,86.28
32,0.0267039,99.4361,86.28
33,0.0266853,99.4361,86.35
34,0.0264892,99.4489,86.56
35,0.0264185,99.4633,86.63
36,0.0263827,99.4494,86.71
37,0.0261498,99.4406,86.7
38,0.0261951,99.4567,86.82
39,0.0262752,99.455,86.78
40,0.0262706,99.4667,86.88
41,0.0260045,99.4589,86.91
42,0.0260649,99.4533,86.92
43,0.0259693,99.4506,86.99
44,0.0258883,99.4606,86.97
45,0.0257795,99.4689,87.06
46,0.0258293,99.4428,87
47,0.0257816,99.4594,87.09
48,0.0257445,99.4711,87.14
49,0.0257055,99.4583,87.17
50,0.0255817,99.4772,87.14
