round,loss,train_acc
1,0.0124279,99.865
2,0.0110476,99.94
3,0.0109459,99.915
4,0.0106266,99.905
5,0.0159617,99.8667
6,0.0157277,99.8667
7,0.0154377,99.8667
8,0.0154766,99.8833
9,0.015795,99.8417
10,0.015442,99.8667
11,0.0154283,99.85
12,0.0154467,99.825
13,0.0154074,99.8417
14,0.0154498,99.8583
15,0.0154222,99.8167
16,0.0157954,99.8
17,0.0160441,99.7833
18,0.0149172,99.8667
19,0.0158844,99.7917
20,0.0153693,99.7833
21,0.0152553,99.85
22,0.0157149,99.8333
23,0.0152104,99.8083
24,0.0157834,99.775
25,0.0155544,99.7833
26,0.0157867,99.7583
27,0.0150072,99.825
28,0.0157549,99.75
29,0.0152864,99.7583
30,0.0150011,99.8083
31,0.0153715,99.7583
32,0.0154234,99.7917
33,0.015771,99.7667
34,0.015628,99.7417
35,0.0157654,99.775
36,0.0152995,99.8
37,0.0152448,99.7667
38,0.015349,99.7583
39,0.0157874,99.775
40,0.0160987,99.775
41,0.0148051,99.85
42,0.0151628,99.7583
43,0.0152123,99.7667
44,0.0157026,99.7417
45,0.0153196,99.75
46,0.0155517,99.725
47,0.0156094,99.7667
48,0.0151089,99.775
49,0.0154872,99.75
50,0.0157439,99.8
