round,loss,train_acc
1,0.013804,99.7929
2,0.0126886,99.9003
3,0.0119874,99.954
4,0.0117352,99.9617
5,0.0173856,99.9617
6,0.017087,99.9361
7,0.0165474,99.9361
8,0.0165491,99.8722
9,0.0159398,99.9489
10,0.0168476,99.885
11,0.0161688,99.9105
12,0.0167443,99.8466
13,0.0159086,99.8722
14,0.0165733,99.8722
15,0.015945,99.8722
16,0.0161101,99.8594
17,0.0168012,99.8083
18,0.0170488,99.7699
19,0.0165598,99.8594
20,0.0166567,99.8338
21,0.0168721,99.8211
22,0.0165971,99.8594
23,0.0164424,99.7955
24,0.0167456,99.8338
25,0.0166044,99.7955
26,0.0162502,99.8594
27,0.0167317,99.8211
28,0.0166336,99.8211
29,0.0167387,99.8211
30,0.016515,99.8083
31,0.0167528,99.7827
32,0.0173055,99.8083
33,0.0169497,99.7955
34,0.0172226,99.7955
35,0.0169046,99.7699
36,0.0172562,99.8211
37,0.017023,99.8211
38,0.0170339,99.8083
39,0.0171156,99.8083
40,0.0169183,99.7955
41,0.0172165,99.8083
42,0.0181086,99.7572
43,0.0176064,99.8211
44,0.0176997,99.7444
45,0.0177875,99.7444
46,0.0175162,99.7699
47,0.0180626,99.7699
48,0.0172346,99.7827
49,0.0171935,99.8083
50,0.0170322,99.7827
