round,loss,train_acc
1,0.0648229,98.5736
2,0.0615273,98.75
3,0.0580233,98.8267
4,0.0554937,98.9034
5,0.0686067,98.7986
6,0.0664537,98.8241
7,0.0646302,98.8369
8,0.0627587,98.7986
9,0.0616053,98.8625
10,0.0599836,98.9008
11,0.058543,98.9264
12,0.0585567,98.7474
13,0.0572989,98.8369
14,0.0566682,98.8497
15,0.0553025,98.9647
16,0.0550589,98.9392
17,0.0543156,98.9136
18,0.0537884,98.9647
19,0.0533792,98.8497
20,0.0522866,98.9647
21,0.0525824,98.9264
22,0.0517134,98.9903
23,0.0517718,98.9136
24,0.0511981,98.9519
25,0.0511318,98.9775
26,0.0505674,98.9903
27,0.0501356,98.9008
28,0.0496585,98.9519
29,0.0493032,98.9392
30,0.0492809,99.067
31,0.0485147,98.9647
32,0.0486776,98.9903
33,0.0484594,99.0798
34,0.0480952,99.0031
35,0.0472962,99.067
36,0.048475,98.9647
37,0.0477206,99.0286
38,0.0470638,99.0031
39,0.0471994,99.0542
40,0.0471079,99.0286
41,0.046878,99.0798
42,0.0466991,98.9775
43,0.0466335,99.0158
44,0.0466328,99.0798
45,0.0461202,99.0286
46,0.046125,99.0542
47,0.0456613,99.0286
48,0.0449211,99.0798
49,0.0455405,99.0414
50,0.0448279,99.0286
