round,loss,train_acc
1,0.0143019,99.7546
2,0.0132106,99.8159
3,0.0128858,99.8466
4,0.012393,99.8926
5,0.0182529,99.7699
6,0.0182656,99.8083
7,0.0178108,99.8466
8,0.0180956,99.7699
9,0.0173742,99.8466
10,0.0175427,99.7444
11,0.0180762,99.7699
12,0.0173179,99.8211
13,0.017601,99.7955
14,0.0172351,99.8594
15,0.0176941,99.8083
16,0.0172165,99.8083
17,0.0174852,99.8211
18,0.0170572,99.8722
19,0.0176205,99.8083
20,0.0175196,99.7572
21,0.018174,99.6933
22,0.0172836,99.7955
23,0.0175835,99.7955
24,0.0174254,99.7572
25,0.0171488,99.7955
26,0.0171808,99.7955
27,0.0174528,99.7699
28,0.0171615,99.7955
29,0.0173013,99.7699
30,0.0171761,99.7955
31,0.0178684,99.7699
32,0.017311,99.7827
33,0.0171734,99.8211
34,0.0175187,99.7188
35,0.0170395,99.7955
36,0.0174097,99.8083
37,0.0177357,99.7444
38,0.0176719,99.7316
39,0.0173278,99.706
40,0.0178493,99.6933
41,0.017067,99.7699
42,0.0175175,99.7572
43,0.017433,99.7955
44,0.0177267,99.7444
45,0.0173344,99.7699
46,0.0174697,99.8211
47,0.0169477,99.7572
48,0.0175727,99.7316
49,0.0179081,99.7444
50,0.0181897,99.706
