epoch,train_loss,train_acc,test_acc
1,0.0337292,99.23,49.2
2,0.031229,99.3807,68.9
3,0.0293956,99.4577,78.09
4,0.028215,99.5047,81.73
5,0.0360572,99.4417,83.45
6,0.0351349,99.4533,84.61
7,0.034413,99.4578,85.35
8,0.0337356,99.4478,85.87
9,0.0332342,99.4678,86.25
10,0.032663,99.46,86.68
11,0.0323505,99.4689,86.9
12,0.0321735,99.46,87.13
13,0.0317731,99.4594,87.36
14,0.0314586,99.4694,87.56
15,0.0312537,99.465,87.69
16,0.0309674,99.4611,87.81
17,0.0309359,99.4572,87.96
18,0.0307325,99.4628,88.05
19,0.0305804,99.4622,88.13
20,0.0303717,99.455,88.18
21,0.0302747,99.4611,88.18
22,0.0300842,99.46,88.35
23,0.0300036,99.4572,88.33
24,0.0300364,99.4456,88.36
25,0.0298304,99.4578,88.46
26,0.0295483,99.4567,88.56
27,0.0295912,99.4583,88.59
28,0.0295114,99.455,88.65
29,0.0294422,99.4583,88.63
30,0.0294269,99.4539,88.68
31,0.0292166,99.4572,88.7
32,0.0291685,99.4606,88.75
33,0.0290798,99.4611,88.77
34,0.0289926,99.4533,88.81
35,0.0289394,99.4528,88.91
36,0.0288694,99.4667,88.84
37,0.0287212,99.4556,88.93
38,0.0286638,99.4511,89
39,0.0287566,99.4606,89
40,0.028657,99.4461,89.04
41,0.0286066,99.4617,89.06
42,0.0285974,99.4428,89.11
43,0.028483,99.4589,89.14
44,0.0283938,99.4589,89.19
45,0.0283459,99.4689,89.19
46,0.028402,99.4533,89.24
47,0.028264,99.4522,89.18
48,0.0281779,99.4556,89.26
49,0.0281772,99.4694,89.23
50,0.0281726,99.4533,89.23
