round,loss,train_acc
1,0.014684,99.7546
2,0.0120015,99.885
3,0.0103718,99.9923
4,0.00978996,99.977
5,0.0142185,99.9744
6,0.0137512,99.9617
7,0.0135501,99.9872
8,0.0133709,99.9617
9,0.0134323,99.9361
10,0.0132562,99.9489
11,0.012874,99.9489
12,0.0128923,99.9617
13,0.0131164,99.9489
14,0.0124904,99.9361
15,0.0129465,99.9489
16,0.0129339,99.9361
17,0.0125005,99.9489
18,0.0125871,99.9361
19,0.0128655,99.8978
20,0.0127384,99.9105
21,0.0128138,99.8978
22,0.012762,99.9233
23,0.0127142,99.9105
24,0.0126427,99.9361
25,0.0124457,99.9617
26,0.0123263,99.9489
27,0.0130086,99.9105
28,0.0124474,99.9489
29,0.0122581,99.9233
30,0.0127095,99.9233
31,0.0122742,99.9361
32,0.0126026,99.9105
33,0.0122044,99.9233
34,0.0120517,99.9489
35,0.0124724,99.8978
36,0.011801,99.9744
37,0.0126997,99.9105
38,0.0121051,99.9233
39,0.0123636,99.9489
40,0.0124004,99.9233
41,0.0126031,99.8978
42,0.012357,99.885
43,0.012061,99.8978
44,0.0123449,99.8722
45,0.0121293,99.9105
46,0.0120467,99.8978
47,0.0121242,99.8978
48,0.0124453,99.8978
49,0.0119378,99.9489
50,0.0124827,99.885
