epoch,train_loss,train_acc,test_acc
1,0.0609638,98.244,50.54
2,0.0552287,98.4477,57.27
3,0.0519981,98.5353,62.12
4,0.0495884,98.6,65.68
5,0.05352,98.5411,69.72
6,0.0521787,98.5467,71.01
7,0.0510779,98.5994,72.56
8,0.0502625,98.6044,73.49
9,0.049637,98.6006,74.39
10,0.0488638,98.6256,75.23
11,0.0484848,98.6406,76.18
12,0.0479185,98.6578,76.17
13,0.0473585,98.6728,76.74
14,0.0471571,98.6789,77.22
15,0.0466195,98.6733,77.41
16,0.0463845,98.6672,77.82
17,0.0460382,98.6972,78.05
18,0.045582,98.7017,78.35
19,0.0454458,98.6978,78.66
20,0.0450637,98.7117,78.84
21,0.0449626,98.7139,78.7
22,0.0445942,98.7294,79.07
23,0.0443152,98.7394,79.24
24,0.0441559,98.735,79.12
25,0.0439915,98.7317,79.45
26,0.0437946,98.7417,79.43
27,0.0435863,98.7622,79.58
28,0.0433284,98.7744,79.56
29,0.0432348,98.7594,79.74
30,0.0432101,98.7856,79.67
31,0.0428809,98.78,79.59
32,0.0427665,98.7872,79.87
33,0.0425596,98.7811,80.09
34,0.0424051,98.7872,79.84
35,0.0422912,98.7894,80.02
36,0.042083,98.8194,80.08
37,0.0421587,98.8072,80.03
38,0.0420065,98.7939,79.89
39,0.0419678,98.8039,80.11
40,0.0415695,98.825,80.15
