round,loss,train_acc
1,0.0330057,99.5768
2,0.0308582,99.7492
3,0.029495,99.8433
4,0.0298686,99.7022
5,0.0438348,99.6604
6,0.0429935,99.6343
7,0.0420269,99.7388
8,0.0426802,99.582
9,0.0416355,99.5298
10,0.0422385,99.5559
11,0.0414907,99.6081
12,0.040814,99.6604
13,0.0396583,99.6604
14,0.0408438,99.6343
15,0.0400964,99.6343
16,0.0399178,99.582
17,0.0397292,99.7126
18,0.0398147,99.5559
19,0.0384036,99.7388
20,0.0397927,99.6081
21,0.0394403,99.4253
22,0.0383359,99.6343
23,0.0388784,99.6343
24,0.0393677,99.582
25,0.0387691,99.582
26,0.0385784,99.582
27,0.0389094,99.582
28,0.0387653,99.6343
29,0.0380244,99.6604
30,0.0384609,99.6081
31,0.0387427,99.5037
32,0.0387782,99.5559
33,0.037833,99.4775
34,0.0389586,99.373
35,0.0383147,99.4514
36,0.0391339,99.4514
37,0.0389323,99.5559
38,0.0388022,99.5037
39,0.038346,99.6081
40,0.0398894,99.4775
41,0.0376404,99.6604
42,0.0377026,99.6081
43,0.0391189,99.4775
44,0.0376143,99.4775
45,0.0377731,99.5559
46,0.0382075,99.4514
47,0.0377137,99.4775
48,0.0382356,99.5037
49,0.0384111,99.5559
50,0.0378422,99.5298
