round,loss,train_acc
1,0.0242467,99.7022
2,0.0217805,99.906
3,0.0196044,99.9843
4,0.0184575,99.9843
5,0.0262789,100
6,0.0251375,100
7,0.0238805,100
8,0.0234232,99.9739
9,0.0222676,100
10,0.022871,99.9216
11,0.022157,99.9739
12,0.0218818,99.9739
13,0.0222261,99.9478
14,0.0214975,99.8955
15,0.021127,99.8433
16,0.0211509,99.9478
17,0.0207213,99.9478
18,0.0207609,99.9216
19,0.0212428,99.8694
20,0.0208698,99.8171
21,0.0210016,99.8955
22,0.02048,99.8694
23,0.0212412,99.8694
24,0.0203282,99.8955
25,0.0206777,99.8433
26,0.0205383,99.8433
27,0.0205095,99.8955
28,0.0206969,99.8694
29,0.0199805,99.8955
30,0.0206181,99.8433
31,0.0206141,99.8433
32,0.0207277,99.8171
33,0.0208143,99.791
34,0.0199614,99.8433
35,0.0208675,99.7388
36,0.0204829,99.8433
37,0.0197833,99.8955
38,0.0207218,99.8171
39,0.0205662,99.8433
40,0.0208797,99.7388
41,0.0204765,99.7649
42,0.0209114,99.791
43,0.0206576,99.7388
44,0.0205271,99.8171
45,0.0204088,99.7388
46,0.0212763,99.7649
47,0.0200121,99.7649
48,0.0206753,99.6865
49,0.0201652,99.7649
50,0.0203856,99.7649
