epoch,train_loss,train_acc,test_acc
1,0.102245,96.9477,42.54
2,0.0926078,97.2503,60.56
3,0.0872079,97.4113,69.93
4,0.0839151,97.4963,73.66
5,0.0860398,97.4733,76.45
6,0.0844793,97.5144,77.78
7,0.083192,97.5506,79.06
8,0.0820996,97.5794,79.92
9,0.0813769,97.5983,80.41
10,0.0802466,97.6356,80.37
11,0.0796952,97.6417,81.24
12,0.079097,97.6694,81.05
13,0.0785234,97.6678,81.31
14,0.0778314,97.6878,82.3
15,0.0773476,97.7044,82.17
16,0.0768392,97.7217,82.19
17,0.0762959,97.745,82.43
18,0.0759922,97.7561,82.46
19,0.0754885,97.76,82.45
20,0.0752014,97.7789,82.45
21,0.0748851,97.755,82.54
22,0.0745729,97.8039,82.69
23,0.0743101,97.8139,82.93
24,0.0738631,97.8139,82.94
25,0.0734688,97.8328,82.82
26,0.07331,97.8239,82.93
27,0.0730831,97.8433,82.82
28,0.0726717,97.8528,82.92
29,0.0724403,97.875,83.18
30,0.0723201,97.8511,83.08
31,0.0720274,97.8539,83.48
32,0.0718109,97.8667,83.09
33,0.071535,97.9006,83.14
34,0.0713729,97.9133,83.25
35,0.071149,97.9089,83.5
36,0.0710438,97.8939,83.4
37,0.070854,97.9167,83.46
38,0.0707482,97.9206,83.15
39,0.0704736,97.9289,82.82
40,0.0704036,97.9167,82.96
