epoch,train_loss,train_acc,test_acc
1,0.557967,86.0933,89.99
2,0.366208,89.7567,90.86
3,0.336825,90.48,91.28
4,0.321544,90.86,91.34
5,0.311817,91.17,91.58
6,0.304872,91.4467,91.62
7,0.299564,91.5167,91.85
8,0.295284,91.65,91.94
9,0.291717,91.75,91.93
10,0.288827,91.885,91.99
11,0.286274,91.9317,92.1
12,0.283908,92,92.01
13,0.282139,92.0717,92.07
14,0.279977,92.1267,91.92
15,0.278412,92.2117,92.18
16,0.277126,92.275,92.08
17,0.275671,92.27,92.18
18,0.27457,92.315,92.05
19,0.273134,92.3983,92.26
20,0.272257,92.3433,92.11
21,0.271238,92.4267,92.11
22,0.270334,92.4417,92.19
23,0.269296,92.445,92.14
24,0.268561,92.495,92.2
25,0.267686,92.5683,92.27
26,0.267004,92.585,92.35
27,0.266242,92.595,92.27
28,0.265591,92.615,92.28
29,0.264839,92.64,92.24
30,0.26442,92.6917,92.35
31,0.263686,92.6767,92.34
32,0.263055,92.66,92.41
33,0.262544,92.7033,92.31
34,0.262064,92.735,92.29
35,0.2615,92.7233,92.34
36,0.260878,92.8017,92.43
37,0.260347,92.7717,92.23
38,0.260075,92.7517,92.38
39,0.259547,92.78,92.25
40,0.259164,92.86,92.45
41,0.258759,92.845,92.46
42,0.258386,92.83,92.53
43,0.257789,92.8933,92.42
44,0.257493,92.8933,92.29
45,0.257221,92.885,92.47
46,0.25671,92.9267,92.51
47,0.256576,92.91,92.56
48,0.2561,92.8867,92.37
49,0.255799,92.9667,92.44
50,0.255501,92.9667,92.39
