epoch,train_loss,train_acc,test_acc
1,0.0402387,98.9467,63.21
2,0.0370632,99.12,71.23
3,0.0349084,99.173,74.58
4,0.0335034,99.2127,76.8
5,0.0393154,99.1361,78.99
6,0.0382743,99.1644,80.56
7,0.0374199,99.1561,81.49
8,0.0367203,99.195,82.28
9,0.0360961,99.1844,82.73
10,0.0357015,99.1939,83.53
11,0.035261,99.1994,84
12,0.035077,99.19,83.97
13,0.0347608,99.205,84.85
14,0.0343446,99.2178,85.24
15,0.0340233,99.1972,85.34
16,0.0337432,99.2183,85.53
17,0.0334764,99.2144,85.72
18,0.0333322,99.2256,85.69
19,0.0331993,99.2272,85.91
20,0.0328404,99.2006,86.17
21,0.0328982,99.23,86.25
22,0.0325915,99.225,86.49
23,0.0324246,99.2178,86.51
24,0.0323726,99.2306,86.55
25,0.0322461,99.215,86.68
26,0.0320748,99.2244,86.7
27,0.0320077,99.2311,86.84
28,0.0318036,99.2456,86.93
29,0.0317288,99.2417,86.96
30,0.031564,99.2422,87.1
31,0.031553,99.2406,87.12
32,0.0314459,99.23,87.06
33,0.0312323,99.26,87.08
34,0.0312799,99.2439,87.16
35,0.0311188,99.2567,87.2
36,0.0309348,99.26,87.23
37,0.0310806,99.2594,87.33
38,0.0307238,99.2656,87.29
39,0.0306805,99.2711,87.22
40,0.0306276,99.2811,87.29
41,0.0305069,99.2694,87.24
