round,loss,train_acc
1,0.0516229,98.4427
2,0.0460272,98.64
3,0.0426442,98.736
4,0.0406004,98.832
5,0.0427233,98.7867
6,0.0417195,98.8267
7,0.0410774,98.8111
8,0.0403494,98.8556
9,0.0400688,98.8844
10,0.0393512,98.8533
11,0.0390489,98.8778
12,0.0386108,98.8778
13,0.0382432,98.9422
14,0.0378009,98.9022
15,0.0375437,98.9244
16,0.03695,98.9422
17,0.0368776,98.9422
18,0.0368268,98.9311
19,0.0363812,98.9667
20,0.0361327,98.9911
21,0.0360734,98.9556
22,0.0357411,99.0067
23,0.0355446,98.98
24,0.0352996,99.0289
25,0.0350881,98.9733
26,0.0352108,98.9956
27,0.0349105,99
28,0.0346394,99.0022
29,0.0344869,99.02
30,0.0344354,99.0333
31,0.0340722,99.0156
32,0.0341879,99.0356
33,0.0339792,99.02
34,0.033678,99.0933
35,0.0334661,99.0578
36,0.0337197,99.0178
37,0.0334445,99.0689
38,0.0332172,99.0711
39,0.0333351,99.0622
40,0.0331887,99.06
