round,loss,train_acc
1,0.105795,96.8013
2,0.0973951,97.0733
3,0.093124,97.2107
4,0.0903773,97.3253
5,0.0926638,97.3022
6,0.0914528,97.2889
7,0.0902061,97.3622
8,0.0893593,97.3578
9,0.0888686,97.3556
10,0.0879175,97.4267
11,0.0874537,97.4844
12,0.086951,97.4644
13,0.0863407,97.44
14,0.0859085,97.5
15,0.0854316,97.4978
16,0.0848669,97.54
17,0.0845134,97.5133
18,0.0840774,97.5756
19,0.083658,97.5578
20,0.0835122,97.5556
21,0.0832473,97.52
22,0.0828172,97.5689
23,0.0828531,97.6333
24,0.0823881,97.5822
25,0.0819076,97.6889
26,0.0818669,97.6
27,0.0818467,97.6133
28,0.0810605,97.68
29,0.0809241,97.7156
30,0.080815,97.6533
31,0.0808095,97.6267
32,0.0804385,97.6733
33,0.0803336,97.6733
34,0.080153,97.6911
35,0.0799693,97.7133
36,0.0796137,97.6733
37,0.0796296,97.7044
38,0.0794557,97.6956
39,0.0791814,97.6956
40,0.0792161,97.7067
