round,loss,train_acc
1,0.14678,95.3853
2,0.135222,95.8107
3,0.128388,96.0013
4,0.12431,96.1067
5,0.126047,96.2044
6,0.124007,96.2333
7,0.122352,96.1911
8,0.120907,96.3022
9,0.119783,96.32
10,0.118395,96.38
11,0.117672,96.3778
12,0.116904,96.4133
13,0.116304,96.4489
14,0.115264,96.4533
15,0.114557,96.5244
16,0.114346,96.4867
17,0.113324,96.5733
18,0.112932,96.5778
19,0.112378,96.5911
20,0.111956,96.5889
21,0.11143,96.5733
22,0.111265,96.6422
23,0.110705,96.6444
24,0.110132,96.6756
25,0.109776,96.6933
26,0.109311,96.6844
27,0.109188,96.7222
28,0.10877,96.6733
29,0.108564,96.7044
30,0.108577,96.6578
31,0.107795,96.6667
32,0.10762,96.6956
33,0.107289,96.7533
34,0.107093,96.7489
35,0.107005,96.7733
36,0.106889,96.7778
37,0.106444,96.8067
38,0.106488,96.74
39,0.106122,96.8
40,0.106257,96.78
