epoch,train_loss,train_acc,test_acc
1,0.102207,96.9327,44.72
2,0.0926489,97.243,61.07
3,0.0872751,97.3813,69.89
4,0.0839862,97.479,73.25
5,0.0861008,97.4772,76.6
6,0.0845556,97.5122,77.5
7,0.0832481,97.5289,78.77
8,0.0821647,97.5678,79.73
9,0.0814304,97.5928,80.25
10,0.0802914,97.6122,80.17
11,0.0797525,97.6294,81
12,0.0791449,97.6456,80.86
13,0.0785739,97.6583,81.01
14,0.0778644,97.6822,82.19
15,0.0773743,97.7044,82.03
16,0.0768741,97.7133,82.05
17,0.0763265,97.7356,82.42
18,0.0760177,97.7506,82.45
19,0.07552,97.7661,82.35
20,0.075229,97.7683,82.42
21,0.0749114,97.7494,82.52
22,0.0745889,97.7994,82.59
23,0.0743274,97.8089,82.89
24,0.0738904,97.8117,83
25,0.0734857,97.8433,82.76
26,0.0733318,97.8122,82.85
27,0.0731009,97.8417,82.75
28,0.0726903,97.85,82.95
29,0.0724586,97.8728,83.12
30,0.0723382,97.8467,83.05
31,0.0720473,97.8494,83.53
32,0.071825,97.8661,83.06
33,0.0715475,97.8906,83.05
34,0.071391,97.9111,83.15
35,0.071157,97.9111,83.41
36,0.071057,97.8894,83.35
37,0.0708666,97.9161,83.35
38,0.0707621,97.9117,83.16
39,0.0704884,97.9156,82.85
40,0.0704176,97.9183,83.09
