round,loss,train_acc
1,0.104632,97.1013
2,0.0919514,97.448
3,0.0849448,97.5773
4,0.0806576,97.652
5,0.0829695,97.6156
6,0.0810427,97.7
7,0.0793567,97.7511
8,0.0780429,97.7556
9,0.0770011,97.8111
10,0.075502,97.7889
11,0.0748353,97.7778
12,0.0741137,97.8267
13,0.0734076,97.8022
14,0.0724837,97.8733
15,0.0719655,97.8711
16,0.071334,97.8844
17,0.0705915,97.9133
18,0.0702352,97.9178
19,0.0696625,97.9489
20,0.0693157,97.9378
21,0.0688946,97.9489
22,0.0685325,97.98
23,0.0682065,97.9778
24,0.0677413,97.96
25,0.067171,98.0178
26,0.0669389,97.9689
27,0.0664579,98.0311
28,0.0662918,98.0444
29,0.0658593,98.0511
30,0.0655251,98.0422
31,0.0655129,98.0889
32,0.0650534,98.06
33,0.0645887,98.1156
34,0.0646402,98.1111
35,0.0641872,98.1
36,0.0640058,98.0889
37,0.0639487,98.0844
38,0.0638874,98.14
39,0.063315,98.1044
40,0.0630083,98.1267
