round,loss,train_acc
1,0.0232083,99.5298
2,0.0225394,99.6552
3,0.0195459,99.9216
4,0.0187253,99.9373
5,0.0276764,99.8955
6,0.0272284,99.8171
7,0.0267232,99.8694
8,0.0249258,99.9216
9,0.0253269,99.8171
10,0.0242698,99.8433
11,0.0247461,99.8694
12,0.0249987,99.791
13,0.0240441,99.8694
14,0.0234303,99.9216
15,0.023464,99.8955
16,0.0230956,99.8694
17,0.0231354,99.8955
18,0.0239333,99.8171
19,0.0229496,99.8694
20,0.0230067,99.8171
21,0.0230181,99.791
22,0.0229023,99.791
23,0.0223993,99.8433
24,0.0224577,99.791
25,0.0222792,99.8433
26,0.022751,99.8433
27,0.0223201,99.8171
28,0.0223356,99.8171
29,0.0222479,99.8694
30,0.0222613,99.7388
31,0.0215201,99.8171
32,0.0222057,99.7649
33,0.0219382,99.791
34,0.0229968,99.6865
35,0.0221467,99.7388
36,0.0224883,99.7126
37,0.021784,99.791
38,0.0225825,99.8433
39,0.0221823,99.7126
40,0.0212402,99.6865
41,0.0216498,99.791
42,0.0212986,99.791
43,0.0217369,99.7388
44,0.0217965,99.7126
45,0.0215742,99.7649
46,0.0209495,99.8433
47,0.0215412,99.7126
48,0.0226858,99.7649
49,0.0217771,99.791
50,0.0216558,99.7388
