round,loss,train_acc
1,0.0251996,99.5768
2,0.0233113,99.8746
3,0.0219681,99.8903
4,0.0210234,99.953
5,0.0315894,99.8433
6,0.03104,99.8694
7,0.0306368,99.8433
8,0.0302087,99.7649
9,0.030046,99.8955
10,0.0294958,99.8694
11,0.0308606,99.7388
12,0.0298171,99.7126
13,0.0290435,99.8955
14,0.0295213,99.8955
15,0.0298972,99.7649
16,0.0290897,99.791
17,0.0299817,99.7649
18,0.0302869,99.8171
19,0.0308132,99.5037
20,0.02925,99.8433
21,0.0295834,99.7649
22,0.0305749,99.6604
23,0.030338,99.7126
24,0.0301681,99.6604
25,0.0293359,99.7388
26,0.0294205,99.6865
27,0.0298984,99.6604
28,0.0298534,99.6343
29,0.0300526,99.6343
30,0.0310236,99.6865
31,0.0290452,99.6081
32,0.0292993,99.5559
33,0.0278515,99.7649
34,0.0293203,99.6865
35,0.0288789,99.6865
36,0.0284443,99.791
37,0.029844,99.7388
38,0.0285836,99.791
39,0.0296312,99.7126
40,0.0302662,99.6343
41,0.029689,99.582
42,0.0295275,99.6081
43,0.0296174,99.6343
44,0.028917,99.6081
45,0.0297209,99.5298
46,0.0301943,99.6343
47,0.0296226,99.6081
48,0.0293428,99.6081
49,0.0286337,99.6081
50,0.0293392,99.6604
