round,loss,train_acc
1,0.00758407,99.916
2,0.00614262,99.996
3,0.00572519,100
4,0.00564552,99.988
5,0.00871784,99.96
6,0.00873674,99.9533
7,0.00892384,99.94
8,0.0088339,99.9267
9,0.00888219,99.9133
10,0.00920771,99.8933
11,0.00897223,99.9133
12,0.00929366,99.9133
13,0.00933848,99.8867
14,0.00951489,99.8867
15,0.00986153,99.8733
16,0.00958708,99.86
17,0.00977183,99.88
18,0.00964966,99.88
19,0.00928778,99.8933
20,0.00955655,99.9067
21,0.00975631,99.86
22,0.00959273,99.8933
23,0.0097551,99.8467
24,0.0100977,99.86
25,0.00952082,99.8733
26,0.00960277,99.88
27,0.00991,99.8667
28,0.0101139,99.8333
29,0.00959473,99.8867
30,0.00961328,99.8733
31,0.00973521,99.8667
32,0.00985175,99.8533
33,0.00964168,99.8667
34,0.0100458,99.86
35,0.00973509,99.8667
36,0.0100087,99.8667
37,0.0100554,99.84
38,0.00977102,99.8467
39,0.0101681,99.82
40,0.00955638,99.8533
