epoch,train_loss,train_acc,test_acc
1,0.0398597,98.9657,60.75
2,0.0368183,99.1243,71.28
3,0.0347395,99.1777,75.07
4,0.0333828,99.206,77.31
5,0.0391814,99.1356,79.19
6,0.0381781,99.1644,80.75
7,0.0373455,99.1633,81.83
8,0.0366559,99.1928,82.45
9,0.0360604,99.1783,83
10,0.0356642,99.18,83.85
11,0.0352491,99.1889,84.23
12,0.0350681,99.1861,84.19
13,0.034762,99.2011,84.96
14,0.034346,99.2078,85.31
15,0.0340215,99.1983,85.45
16,0.0337482,99.2028,85.53
17,0.0334854,99.2072,85.73
18,0.0333308,99.2272,85.77
19,0.0332155,99.235,85.92
20,0.032854,99.2089,86.15
21,0.0329135,99.2244,86.34
22,0.0326098,99.2278,86.4
23,0.0324449,99.2206,86.43
24,0.0323879,99.2333,86.49
25,0.0322615,99.2144,86.6
26,0.0320908,99.2272,86.66
27,0.0320156,99.2333,86.8
28,0.0318101,99.2372,86.86
29,0.0317447,99.2372,86.92
30,0.0315836,99.24,86.92
31,0.0315675,99.2422,87.04
32,0.0314724,99.2322,87.01
33,0.0312491,99.2533,87.09
34,0.0312973,99.2411,87.15
35,0.031135,99.2578,87.19
36,0.0309532,99.2617,87.18
37,0.0310855,99.2572,87.25
38,0.030733,99.2722,87.24
39,0.0306965,99.2661,87.19
40,0.0306426,99.2833,87.22
