round,loss,train_acc
1,0.0246509,99.5839
2,0.0228149,99.7529
3,0.0209119,99.909
4,0.0199085,99.909
5,0.0305375,99.7833
6,0.0296007,99.8049
7,0.0299246,99.7833
8,0.0293261,99.7833
9,0.0279743,99.9133
10,0.0287377,99.8266
11,0.0298655,99.6966
12,0.0286981,99.7399
13,0.0291764,99.7182
14,0.0293213,99.7182
15,0.0290712,99.6966
16,0.0304119,99.6316
17,0.0293624,99.6966
18,0.0294185,99.6532
19,0.0285395,99.6966
20,0.0298153,99.6099
21,0.0295032,99.6966
22,0.0298726,99.6532
23,0.0295232,99.6749
24,0.0294579,99.6099
25,0.030272,99.5449
26,0.0303295,99.5015
27,0.0294448,99.5882
28,0.0295512,99.4798
29,0.0294842,99.5665
30,0.0309739,99.4582
31,0.0299489,99.6532
32,0.030284,99.4798
33,0.0301912,99.5232
34,0.0297841,99.5449
35,0.031085,99.4365
36,0.0298523,99.4798
37,0.0306707,99.3281
38,0.0301862,99.5015
39,0.0304205,99.4365
40,0.0300983,99.5015
41,0.0304286,99.5449
42,0.0296856,99.4148
43,0.0292499,99.5015
44,0.0294888,99.5449
45,0.0312735,99.3932
46,0.029823,99.5449
47,0.0311279,99.3715
48,0.0312252,99.4798
49,0.0312575,99.2631
50,0.0314014,99.4365
51,0.0302,99.5015
52,0.0300426,99.4582
53,0.030544,99.3498
54,0.0309442,99.4365
55,0.0303326,99.4148
56,0.0324527,99.3498
