round,loss,train_acc
1,0.0136738,99.7776
2,0.0122947,99.862
3,0.0109277,99.977
4,0.0102374,99.9847
5,0.014731,99.9872
6,0.0145094,99.9744
7,0.0142092,99.9233
8,0.0140904,99.9233
9,0.0142754,99.8978
10,0.0139562,99.9105
11,0.0140886,99.8722
12,0.0145141,99.885
13,0.0144022,99.8722
14,0.0147418,99.8211
15,0.0141277,99.8466
16,0.014132,99.8083
17,0.0145663,99.7827
18,0.0143603,99.8211
19,0.0144109,99.7827
20,0.0147147,99.7699
21,0.0146228,99.7827
22,0.0146472,99.7444
23,0.0144391,99.7827
24,0.014875,99.7699
25,0.0147013,99.7827
26,0.0142077,99.7955
27,0.0145599,99.7699
28,0.0151611,99.7699
29,0.0146806,99.7827
30,0.0150014,99.7572
31,0.014499,99.7699
32,0.0149621,99.7827
33,0.014893,99.7572
34,0.0150321,99.706
35,0.0145966,99.7188
36,0.0150335,99.7188
37,0.014807,99.7699
38,0.0148166,99.7316
39,0.0150341,99.7188
40,0.0150727,99.7316
41,0.0153704,99.7699
42,0.0153143,99.7444
43,0.0147251,99.7572
44,0.0152988,99.7572
45,0.0150573,99.7444
46,0.0151259,99.7188
47,0.0156004,99.706
48,0.0148454,99.7699
49,0.0153865,99.7188
50,0.0149835,99.7316
51,0.0152228,99.7316
