round,loss,train_acc
1,0.0137393,99.7776
2,0.0114857,99.9387
3,0.010192,99.9923
4,0.00963244,99.9923
5,0.0141464,99.9617
6,0.0137964,99.9744
7,0.0136545,99.9617
8,0.0134221,99.9872
9,0.0134732,99.9361
10,0.0132344,99.9617
11,0.0129302,99.9617
12,0.0129756,99.9361
13,0.0131467,99.9489
14,0.0124693,99.9489
15,0.0130141,99.9361
16,0.0129228,99.9361
17,0.0125281,99.9489
18,0.0126042,99.9617
19,0.0129095,99.8978
20,0.0127807,99.9105
21,0.0128022,99.9105
22,0.0127912,99.9233
23,0.0126935,99.9361
24,0.0126482,99.9489
25,0.0124464,99.9744
26,0.0123308,99.9361
27,0.012974,99.9105
28,0.0124637,99.9361
29,0.0122696,99.9489
30,0.0127075,99.9361
31,0.0122206,99.9361
32,0.0126269,99.885
33,0.0122091,99.9361
34,0.0120477,99.9361
35,0.0124473,99.9105
36,0.0117978,99.9489
37,0.0126825,99.8978
38,0.0120743,99.9233
39,0.0123424,99.9361
40,0.0124405,99.9361
41,0.0126223,99.8722
42,0.012338,99.885
43,0.0120582,99.8978
44,0.0123566,99.8722
45,0.0121547,99.9233
46,0.0120066,99.9105
47,0.0121192,99.9105
48,0.0124868,99.885
49,0.0119213,99.9361
50,0.0124711,99.885
51,0.0123768,99.8978
